product_id,has_image,image_count,image_quality_score,has_nutritional_info,has_description,description_length,missing_attribute_count,last_updated
PROD001,True,3,0.85,True,True,155,0,2025-04-11
PROD002,True,5,0.72,True,True,127,0,2024-08-28
PROD003,True,3,0.58,True,True,119,2,2025-07-21
PROD004,True,3,0.48,False,True,70,1,2024-01-31
PROD005,True,1,0.46,False,True,63,1,2025-03-31
PROD006,True,2,0.65,False,True,55,3,2025-01-10
PROD007,True,1,0.69,True,True,120,1,2025-10-23
PROD008,True,5,0.88,True,True,169,0,2024-03-04
PROD009,True,1,0.4,False,False,0,6,2024-12-18
PROD010,True,3,0.65,True,True,95,1,2025-05-23
PROD011,True,5,0.89,True,True,163,0,2024-01-22
PROD012,True,0,0.31,False,False,0,4,2025-09-30
PROD013,True,4,0.78,True,True,200,0,2024-06-08
PROD014,True,4,0.88,True,True,156,0,2025-07-31
PROD015,False,0,0.26,False,True,47,7,2024-12-14
PROD016,True,1,0.55,True,True,56,0,2023-11-18
PROD017,True,1,0.28,False,False,0,5,2023-01-07
PROD018,True,3,0.66,True,True,64,1,2024-07-17
PROD019,True,4,0.72,True,True,236,0,2025-04-19
PROD020,True,7,1.0,True,True,445,0,2025-07-18
PROD021,False,0,0.36,True,False,0,7,2024-10-16
PROD022,True,0,0.26,False,False,0,3,2025-04-02
PROD023,True,2,0.41,False,True,89,0,2024-02-21
PROD024,False,0,0.38,True,True,14,4,2023-01-29
PROD025,True,3,0.83,False,True,162,0,2025-04-26
PROD026,True,3,0.53,True,True,119,1,2025-09-10
PROD027,True,4,0.9,True,True,232,1,2024-03-21
PROD028,True,1,0.11,False,False,0,4,2023-03-07
PROD029,False,0,0.17,False,False,0,2,2023-03-21
PROD030,True,2,0.6,True,True,66,4,2025-09-08
PROD031,True,2,0.64,True,True,62,1,2025-08-21
PROD032,True,2,0.54,False,True,62,0,2024-01-09
PROD033,True,2,0.64,True,True,74,0,2023-08-25
PROD034,True,1,0.53,True,True,81,1,2025-12-25
PROD035,True,3,0.43,False,True,119,1,2024-03-16
PROD036,True,6,0.92,True,True,374,0,2024-01-13
PROD037,True,2,0.67,True,True,50,2,2023-05-06
PROD038,True,2,0.49,False,True,112,1,2025-10-17
PROD039,True,0,0.27,False,False,0,2,2024-09-03
PROD040,False,0,0.38,False,True,42,2,2024-01-08
PROD041,False,0,0.12,True,False,0,3,2025-12-25
PROD042,False,0,0.17,False,False,0,5,2023-01-21
PROD043,True,5,0.8,False,True,172,0,2025-06-27
PROD044,True,2,0.44,False,True,108,1,2025-06-07
PROD045,True,5,0.9,True,True,409,0,2025-09-23
PROD046,True,5,0.91,True,True,304,0,2025-07-15
PROD047,True,1,0.68,False,True,81,1,2025-12-07
PROD048,True,2,0.65,False,True,117,1,2024-01-27
PROD049,True,5,0.76,True,True,154,0,2025-04-12
PROD050,True,0,0.18,False,False,0,1,2023-03-19
