region,area
Central,Alexandra
Central,Bishan
Central,Bugis
Central,Bukit Timah
Central,Chinatown
Central,City Hall
Central,Clarke Quay
Central,Dhoby Ghaut
Central,Farrer Park
Central,Geylang
Central,Holland Village
Central,Kallang
Central,Little India
Central,Marina Bay
Central,Marina South
Central,Marine Parade
Central,Newton
Central,Novena
Central,Orchard
Central,Outram
Central,Queenstown
Central,Raffles Place
Central,Redhill
Central,River Valley
Central,Rochor
Central,Somerset
Central,Tanglin
Central,Tanjong Pagar
Central,Tiong Bahru
Central,Toa Payoh
Central,Upper Bukit Timah
East,Bedok
East,Changi
East,Eunos
East,Expo
East,Kembangan
East,Loyang
East,Pasir Ris
East,Paya Lebar
East,Simei
East,Tampines
East,Tampines East
East,Tampines West
East,Tanah Merah
North,Admiralty
North,Canberra
North,Khatib
North,Mandai
North,Sembawang
North,Sungei Kadut
North,Woodlands
North,Yishun
North-East,Ang Mo Kio
North-East,Buangkok
North-East,Compassvale
North-East,Hougang
North-East,Kovan
North-East,Lorong Chuan
North-East,Punggol
North-East,Rivervale
North-East,Sengkang
North-East,Serangoon
North-East,Woodleigh
West,Boon Lay
West,Bukit Batok
West,Bukit Gombak
West,Bukit Panjang
West,Chinese Garden
West,Choa Chu Kang
West,Clementi
West,Dover
West,Jurong East
West,Jurong West
West,Lakeside
West,Pioneer
West,Tengah
West,Tuas
West,West Coast
West,Yew Tee
